BUSMASTER Ver 3.2.2,,,,,,
PROTOCOL CAN,,,,,,
NOTE: PLEASE DO NOT EDIT THIS DOCUMENT,,,,,,
[START LOGGING SESSION],,,,,,
START DATE AND TIME 15:1:2019 13:13:26:24,,,,,,
END DATE AND TIME 23:1:2019 14:47:40:625,,,,,,
SYSTEM MODE,,,,,,
START CHANNEL BAUD RATE,,,,,,
CHANNEL 1 - Kvaser - Kvaser Leaf Light v2 #0 (Channel 0), Serial Number- 0, Firmware- 0x00000187 0x00040004 - 250000 bps,,,,
END CHANNEL BAUD RATE,,,,,,
START DATABASE FILES,,,,,,
END DATABASE FILES,,,,,,
<Time>,<Tx/Rx>,<Channel>,<CAN ID>,<Type>,<DLC>,<DataBytes>
13:13:27:0542,Rx,1,0x5601069,x,8,BD F7 F9 FF 35 00 88 C0 
13:13:27:0592,Rx,1,0x5601069,x,8,BD F7 F9 FF 34 00 88 C0 
13:13:27:0642,Rx,1,0x5601069,x,8,BD F7 F9 FF 34 00 88 C0 
13:13:27:0692,Rx,1,0x5601069,x,8,BD F7 F9 FF 33 00 88 C0 
13:13:27:0742,Rx,1,0x5601069,x,8,BD F7 F8 FF 33 00 88 C0 
13:13:27:0802,Rx,1,0x5601069,x,8,BD F7 F8 FF 32 00 88 C0 
13:13:27:0852,Rx,1,0x5601069,x,8,BC F7 F8 FF 32 00 88 C0 
13:13:27:0902,Rx,1,0x5601069,x,8,BC F7 F8 FF 31 00 88 C0 
13:13:27:0952,Rx,1,0x5601069,x,8,BC F7 F8 FF 31 00 88 C0 
13:13:27:1002,Rx,1,0x5601069,x,8,BC F7 F8 FF 30 00 88 C0 
13:13:27:1052,Rx,1,0x5601069,x,8,BB F7 F8 FF 30 00 88 C0 
13:13:27:1102,Rx,1,0x5601069,x,8,BB F7 F7 FF 2F 00 88 C0 
13:13:27:1152,Rx,1,0x5601069,x,8,BB F7 F7 FF 2F 00 88 C0 
13:13:27:1202,Rx,1,0x5601069,x,8,BB F7 F7 FF 2F 00 88 C0 
13:13:27:1252,Rx,1,0x5601069,x,8,BB F7 F7 FF 2E 00 89 C0 
13:13:27:1302,Rx,1,0x5601069,x,8,BB F7 F6 FF 2E 00 89 C0 
13:13:27:1352,Rx,1,0x5601069,x,8,BB F7 F6 FF 2D 00 89 C0 
13:13:27:1402,Rx,1,0x5601069,x,8,BB F7 F6 FF 2D 00 89 C0 
13:13:27:1452,Rx,1,0x5601069,x,8,BB F7 F6 FF 2C 00 89 C0 
13:13:27:1502,Rx,1,0x5601069,x,8,BB F7 F6 FF 2C 00 89 C0 
13:13:27:1552,Rx,1,0x5601069,x,8,BB F7 F6 FF 2B 00 89 C0 
13:13:27:1612,Rx,1,0x5601069,x,8,BB F7 F5 FF 2B 00 89 C0 
13:13:27:1662,Rx,1,0x5601069,x,8,BB F7 F5 FF 2A 00 89 C0 
13:13:27:1712,Rx,1,0x5601069,x,8,BB F7 F5 FF 2A 00 89 C0 
13:13:27:1762,Rx,1,0x5601069,x,8,BA F7 F5 FF 29 00 89 C0 
13:13:27:1812,Rx,1,0x5601069,x,8,BA F7 F5 FF 29 00 89 C0 
13:13:27:1862,Rx,1,0x5601069,x,8,BA F7 F5 FF 28 00 89 C0 
13:13:27:1912,Rx,1,0x5601069,x,8,BA F7 F5 FF 28 00 89 C0 
13:13:27:1962,Rx,1,0x5601069,x,8,B9 F7 F5 FF 28 00 89 C0 
13:13:27:2012,Rx,1,0x5601069,x,8,B9 F7 F5 FF 27 00 89 C0 
13:13:27:2062,Rx,1,0x5601069,x,8,B9 F7 F5 FF 27 00 89 C0 
13:13:27:2112,Rx,1,0x5601069,x,8,B9 F7 F5 FF 27 00 89 C0 
13:13:27:2162,Rx,1,0x5601069,x,8,B8 F7 F5 FF 26 00 89 C0 
13:13:27:2212,Rx,1,0x5601069,x,8,B8 F7 F5 FF 26 00 89 C0 
13:13:27:2272,Rx,1,0x5601069,x,8,B8 F7 F4 FF 25 00 89 C0 
13:13:27:2312,Rx,1,0x5601069,x,8,B8 F7 F4 FF 25 00 89 C0 
13:13:27:2372,Rx,1,0x5601069,x,8,B7 F7 F4 FF 24 00 89 C0 
13:13:27:2422,Rx,1,0x5601069,x,8,B7 F7 F4 FF 24 00 89 C0 
13:13:27:2472,Rx,1,0x5601069,x,8,B7 F7 F4 FF 23 00 89 C0 
13:13:27:2532,Rx,1,0x5601069,x,8,B7 F7 F4 FF 23 00 89 C0 
13:13:27:2572,Rx,1,0x5601069,x,8,B7 F7 F4 FF 22 00 89 C0 
13:13:27:2622,Rx,1,0x5601069,x,8,B6 F7 F4 FF 22 00 89 C0 
13:13:27:2672,Rx,1,0x5601069,x,8,B6 F7 03 00 36 00 89 C0 
